transaction_id,timestamp,card_id,amount,merchant_name,merchant_category,channel,cardholder_country,merchant_country,device_id,ip_address,hour,day_of_week,is_night,is_weekend,card_mean_amount,card_std_amount,card_tx_count,amount_zscore,velocity_1h,velocity_burst,cross_border,high_risk_category,device_multi_card,ip_multi_card,many_merchants,flag_round_amount,is_gift_card_txn,gift_card_spree,prev_amount,is_test_charge_pattern,is_electronics_txn,electronics_spree,flag_high_amount,flag_amount_zscore,flag_extreme_zscore,flag_night_tx,flag_cross_border,flag_high_velocity,flag_burst,flag_high_risk_cat,flag_device_multi,flag_ip_multi,flag_many_merchants,rule_score,triggers,if_score,if_anomaly,if_score_norm,rule_score_norm,fraud_score,fraud_verdict
tx_000018,2026-04-25 14:13:47,card_000,51.5,Hydro-Quebec,utilities,online,CA,CA,dev_bc0178b6,99.225.129.227,14,5,0,1,104.61047619047619,218.6319674813404,21,-0.2429218233834401,0.0,0.0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,-0.35356927409132094,0,0.00972426156854378,0.0,0.003889704627417512,LEGITIMATE
tx_000006,2026-04-29 09:17:47,card_000,82.96,Esso,gas,in_person,CA,CA,,,9,2,0,0,104.61047619047619,218.6319674813404,21,-0.09902703817694913,0.0,0.0,0,0,0,0,0,0,0,0,51.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,-0.3672263819437836,0,0.04370078522794796,0.0,0.017480314091179183,LEGITIMATE
tx_000001,2026-05-05 18:39:29,card_000,115.44,Bell Canada,utilities,online,CA,CA,dev_bc0178b6,24.114.150.203,18,1,0,0,104.61047619047619,218.6319674813404,21,0.0495331215022253,0.0,0.0,0,0,0,0,0,0,0,0,82.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,-0.38850985902184815,0,0.09665039727680147,0.0,0.03866015891072059,LEGITIMATE
tx_000982,2026-05-06 16:57:00,card_000,34.86,Cineplex,entertainment,in_person,CA,CA,,,16,2,0,0,104.61047619047619,218.6319674813404,21,-0.3190314618397659,0.0,0.0,0,0,0,0,0,0,0,0,115.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,-0.35319315623122344,0,0.008788545345871923,0.0,0.0035154181383487693,LEGITIMATE
tx_000983,2026-05-06 17:13:00,card_000,1032.48,Newegg,electronics,online,CA,US,dev_c038c175,189.144.34.189,17,2,0,0,104.61047619047619,218.6319674813404,21,4.243979206237142,1.0,0.0,1,1,0,0,0,0,0,0,34.86,0,1,0,1,1,0,0,1,0,0,1,0,0,0,3.5,Amount $1032.48 >> card avg $104.61 (+927.87) | Amount Z-score 4.2σ (threshold: ±3σ) | Cross-border: cardholder CA → merchant US | High-risk category: electronics,-0.7385022353690954,1,0.9673709322566201,0.5384615384615384,0.7100252959795711,FRAUD
tx_000014,2026-05-07 22:34:49,card_000,13.49,Bell Canada,utilities,online,CA,CA,dev_bc0178b6,99.225.131.145,22,3,0,0,104.61047619047619,218.6319674813404,21,-0.4167756309390257,0.0,0.0,0,0,0,0,0,0,0,0,1032.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,-0.3709804369671171,0,0.0530402252248281,0.0,0.02121609008993124,LEGITIMATE
tx_000003,2026-05-09 23:12:57,card_000,11.77,La Banquise,restaurant,in_person,CA,CA,,,23,5,0,1,104.61047619047619,218.6319674813404,21,-0.4246427329910017,0.0,0.0,0,0,0,0,0,0,0,0,13.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,-0.37856846045304604,0,0.07191791604216258,0.0,0.028767166416865032,LEGITIMATE
tx_000012,2026-05-10 18:09:35,card_000,19.81,Cafe Olimpico,restaurant,in_person,CA,CA,,,18,6,0,1,104.61047619047619,218.6319674813404,21,-0.38786860479455576,0.0,0.0,0,0,0,0,0,0,0,0,11.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,-0.35319546697713256,0,0.008794294082273613,0.0,0.0035177176329094454,LEGITIMATE
tx_000019,2026-05-11 01:11:16,card_000,74.42,Tim Hortons,restaurant,in_person,CA,CA,,,1,0,1,0,104.61047619047619,218.6319674813404,21,-0.13808811464431822,0.0,0.0,0,0,0,0,0,0,0,0,19.81,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.5,Transaction at 01:00 (night window 00–05),-0.4243026323618144,0,0.1856966304440799,0.07692307692307693,0.12043249833147812,LEGITIMATE
tx_000007,2026-05-15 04:09:33,card_000,34.54,Joe Beef,restaurant,in_person,CA,CA,,,4,4,1,0,104.61047619047619,218.6319674813404,21,-0.3204951087331568,0.0,0.0,0,0,0,0,0,0,0,0,74.42,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.5,Transaction at 04:00 (night window 00–05),-0.39738971228036557,0,0.118741937271168,0.07692307692307693,0.09365062106231337,LEGITIMATE
tx_000005,2026-05-16 23:34:15,card_000,32.26,Chipotle,restaurant,in_person,CA,CA,,,23,5,0,1,104.61047619047619,218.6319674813404,21,-0.33092359284856687,0.0,0.0,0,0,0,0,0,0,0,0,34.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,-0.3746059387395742,0,0.06205984695439437,0.0,0.02482393878175775,LEGITIMATE
tx_000009,2026-05-17 12:41:59,card_000,36.74,Bell Canada,utilities,online,CA,CA,dev_bc0178b6,70.50.190.79,12,6,0,1,104.61047619047619,218.6319674813404,21,-0.3104325363410944,0.0,0.0,0,0,0,0,0,0,0,0,32.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,-0.35431546076784687,0,0.011580645038836379,0.0,0.004632258015534552,LEGITIMATE
